model,decoding_group,run_label,semantic_category,discourse_relation,n_sentences,support,joint_prevalence,prevalence_category,prevalence_relation,lift,support_is_thin
Gemma 4 2B,Stochastic,run_1,Mechanical,Comparison,610,1,0.001639344262295082,0.00819672131147541,0.1885245901639344,1.0608695652173914,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Contingency,610,1,0.001639344262295082,0.00819672131147541,0.1901639344262295,1.0517241379310345,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion,610,3,0.004918032786885246,0.00819672131147541,0.1885245901639344,3.1826086956521746,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Temporal,610,0,0.0,0.00819672131147541,0.06721311475409836,0.0,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Any explicit,610,3,0.004918032786885246,0.00819672131147541,0.5245901639344263,1.14375,True
Gemma 4 2B,Stochastic,run_1,Testimony,Comparison,610,39,0.06393442622950819,0.22950819672131148,0.1885245901639344,1.477639751552795,False
Gemma 4 2B,Stochastic,run_1,Testimony,Contingency,610,8,0.013114754098360656,0.22950819672131148,0.1901639344262295,0.3004926108374384,False
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion,610,48,0.07868852459016394,0.22950819672131148,0.1885245901639344,1.818633540372671,False
Gemma 4 2B,Stochastic,run_1,Testimony,Temporal,610,19,0.03114754098360656,0.22950819672131148,0.06721311475409836,2.019163763066202,False
Gemma 4 2B,Stochastic,run_1,Testimony,Any explicit,610,92,0.15081967213114755,0.22950819672131148,0.5245901639344263,1.2526785714285715,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Comparison,610,54,0.08852459016393442,0.33278688524590166,0.1885245901639344,1.4110087813236238,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Contingency,610,21,0.03442622950819672,0.33278688524590166,0.1901639344262295,0.5439952437574316,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion,610,50,0.08196721311475409,0.33278688524590166,0.1885245901639344,1.3064896123366887,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Temporal,610,25,0.040983606557377046,0.33278688524590166,0.06721311475409836,1.8322720173014537,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Any explicit,610,126,0.20655737704918034,0.33278688524590166,0.5245901639344263,1.1831896551724137,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Comparison,610,9,0.014754098360655738,0.06721311475409836,0.1885245901639344,1.164369034994698,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Contingency,610,7,0.011475409836065573,0.06721311475409836,0.1901639344262295,0.8978132884777124,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion,610,5,0.00819672131147541,0.06721311475409836,0.1885245901639344,0.6468716861081656,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Temporal,610,5,0.00819672131147541,0.06721311475409836,0.06721311475409836,1.8143961927424153,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Any explicit,610,22,0.036065573770491806,0.06721311475409836,0.5245901639344263,1.0228658536585367,False
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Comparison,610,7,0.011475409836065573,0.03442622950819672,0.1885245901639344,1.7681159420289854,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Contingency,610,2,0.003278688524590164,0.03442622950819672,0.1901639344262295,0.5008210180623974,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion,610,8,0.013114754098360656,0.03442622950819672,0.1885245901639344,2.020703933747412,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Temporal,610,8,0.013114754098360656,0.03442622950819672,0.06721311475409836,5.667828106852497,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Any explicit,610,15,0.02459016393442623,0.03442622950819672,0.5245901639344263,1.3616071428571426,True
Gemma 4 2B,Stochastic,run_1,Payoff,Comparison,610,14,0.022950819672131147,0.319672131147541,0.1885245901639344,0.3808249721293199,False
Gemma 4 2B,Stochastic,run_1,Payoff,Contingency,610,95,0.1557377049180328,0.319672131147541,0.1901639344262295,2.561892130857648,False
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion,610,29,0.047540983606557376,0.319672131147541,0.1885245901639344,0.7888517279821627,False
Gemma 4 2B,Stochastic,run_1,Payoff,Temporal,610,3,0.004918032786885246,0.319672131147541,0.06721311475409836,0.22889305816135086,False
Gemma 4 2B,Stochastic,run_1,Payoff,Any explicit,610,115,0.1885245901639344,0.319672131147541,0.5245901639344263,1.1241987179487176,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Comparison,610,57,0.09344262295081968,0.31311475409836065,0.1885245901639344,1.5829729114500344,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Contingency,610,39,0.06393442622950819,0.31311475409836065,0.1901639344262295,1.073749774327496,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion,610,40,0.06557377049180328,0.31311475409836065,0.1885245901639344,1.1108581834737083,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Temporal,610,3,0.004918032786885246,0.31311475409836065,0.06721311475409836,0.2336866300600179,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Any explicit,610,107,0.17540983606557378,0.31311475409836065,0.5245901639344263,1.067899214659686,False
Gemma 4 2B,Stochastic,run_2,Mechanical,Comparison,605,2,0.003305785123966942,0.011570247933884297,0.2,1.4285714285714284,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Contingency,605,2,0.003305785123966942,0.011570247933884297,0.20826446280991737,1.3718820861678005,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion,605,3,0.0049586776859504135,0.011570247933884297,0.17520661157024794,2.4460916442048517,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Temporal,605,0,0.0,0.011570247933884297,0.04628099173553719,0.0,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Any explicit,605,5,0.008264462809917356,0.011570247933884297,0.5140495867768595,1.3895268718419844,True
Gemma 4 2B,Stochastic,run_2,Testimony,Comparison,605,40,0.06611570247933884,0.22479338842975208,0.2,1.4705882352941175,False
Gemma 4 2B,Stochastic,run_2,Testimony,Contingency,605,9,0.01487603305785124,0.22479338842975208,0.20826446280991737,0.31775210084033606,False
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion,605,35,0.05785123966942149,0.22479338842975208,0.17520661157024794,1.468854051054384,False
Gemma 4 2B,Stochastic,run_2,Testimony,Temporal,605,21,0.03471074380165289,0.22479338842975208,0.04628099173553719,3.33639705882353,False
Gemma 4 2B,Stochastic,run_2,Testimony,Any explicit,605,83,0.1371900826446281,0.22479338842975208,0.5140495867768595,1.187228106676754,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Comparison,605,63,0.10413223140495868,0.3140495867768595,0.2,1.6578947368421053,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Contingency,605,24,0.03966942148760331,0.3140495867768595,0.20826446280991737,0.606516290726817,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion,605,51,0.08429752066115702,0.3140495867768595,0.17520661157024794,1.5320258192651437,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Temporal,605,17,0.02809917355371901,0.3140495867768595,0.04628099173553719,1.9332706766917296,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Any explicit,605,129,0.21322314049586777,0.3140495867768595,0.5140495867768595,1.3207818581824335,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Comparison,605,9,0.01487603305785124,0.05619834710743802,0.2,1.3235294117647058,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Contingency,605,5,0.008264462809917356,0.05619834710743802,0.20826446280991737,0.7061157796451913,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion,605,9,0.01487603305785124,0.05619834710743802,0.17520661157024794,1.5108213096559377,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Temporal,605,3,0.0049586776859504135,0.05619834710743802,0.04628099173553719,1.9065126050420171,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Any explicit,605,21,0.03471074380165289,0.05619834710743802,0.5140495867768595,1.2015320597692452,False
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Comparison,605,4,0.006611570247933884,0.021487603305785124,0.2,1.5384615384615383,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Contingency,605,0,0.0,0.021487603305785124,0.20826446280991737,0.0,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion,605,5,0.008264462809917356,0.021487603305785124,0.17520661157024794,2.1952104499274308,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Temporal,605,6,0.009917355371900827,0.021487603305785124,0.04628099173553719,9.972527472527474,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Any explicit,605,10,0.01652892561983471,0.021487603305785124,0.5140495867768595,1.4964135542913677,True
Gemma 4 2B,Stochastic,run_2,Payoff,Comparison,605,18,0.02975206611570248,0.3421487603305785,0.2,0.43478260869565216,False
Gemma 4 2B,Stochastic,run_2,Payoff,Contingency,605,101,0.1669421487603306,0.3421487603305785,0.20826446280991737,2.3428034659918717,False
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion,605,37,0.06115702479338843,0.3421487603305785,0.17520661157024794,1.0201895907392216,False
Gemma 4 2B,Stochastic,run_2,Payoff,Temporal,605,1,0.001652892561983471,0.3421487603305785,0.04628099173553719,0.10438233264320221,False
Gemma 4 2B,Stochastic,run_2,Payoff,Any explicit,605,127,0.20991735537190082,0.3421487603305785,0.5140495867768595,1.1935163179396369,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Comparison,605,55,0.09090909090909091,0.31735537190082647,0.2,1.4322916666666667,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Contingency,605,38,0.0628099173553719,0.31735537190082647,0.20826446280991737,0.9503141534391534,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Expansion,605,32,0.05289256198347107,0.31735537190082647,0.17520661157024794,0.95125786163522,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Temporal,605,2,0.003305785123966942,0.31735537190082647,0.04628099173553719,0.22507440476190474,False
Gemma 4 2B,Stochastic,run_2,Uncertainty,Any explicit,605,96,0.15867768595041323,0.31735537190082647,0.5140495867768595,0.972668810289389,False
Gemma 4 2B,Stochastic,run_3,Mechanical,Comparison,593,0,0.0,0.01011804384485666,0.1905564924114671,0.0,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Contingency,593,2,0.003372681281618887,0.01011804384485666,0.22934232715008432,1.4534313725490196,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Expansion,593,1,0.0016863406408094434,0.01011804384485666,0.16188870151770657,1.029513888888889,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Temporal,593,1,0.0016863406408094434,0.01011804384485666,0.04384485666104553,3.801282051282051,True
Gemma 4 2B,Stochastic,run_3,Mechanical,Any explicit,593,3,0.00505902192242833,0.01011804384485666,0.5193929173693086,0.9626623376623378,True
Gemma 4 2B,Stochastic,run_3,Testimony,Comparison,593,44,0.07419898819561552,0.25295109612141653,0.1905564924114671,1.5393510324483777,False
Gemma 4 2B,Stochastic,run_3,Testimony,Contingency,593,21,0.03541315345699832,0.25295109612141653,0.22934232715008432,0.6104411764705883,False
Gemma 4 2B,Stochastic,run_3,Testimony,Expansion,593,35,0.05902192242833052,0.25295109612141653,0.16188870151770657,1.4413194444444444,False
Gemma 4 2B,Stochastic,run_3,Testimony,Temporal,593,16,0.026981450252951095,0.25295109612141653,0.04384485666104553,2.4328205128205127,False
Gemma 4 2B,Stochastic,run_3,Testimony,Any explicit,593,94,0.15851602023608768,0.25295109612141653,0.5193929173693086,1.2065367965367966,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Comparison,593,49,0.08263069139966273,0.2765598650927487,0.1905564924114671,1.5679365421972804,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Contingency,593,25,0.04215851602023609,0.2765598650927487,0.22934232715008432,0.6646789813486371,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Expansion,593,39,0.0657672849915683,0.2765598650927487,0.16188870151770657,1.4689405487804879,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Temporal,593,12,0.02023608768971332,0.2765598650927487,0.04384485666104553,1.6688555347091933,False
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Any explicit,593,106,0.178752107925801,0.2765598650927487,0.5193929173693086,1.2444171681976561,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Comparison,593,14,0.023608768971332208,0.06913996627318718,0.1905564924114671,1.791927476796892,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Contingency,593,6,0.01011804384485666,0.06913996627318718,0.22934232715008432,0.6380918220946916,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Expansion,593,9,0.01517706576728499,0.06913996627318718,0.16188870151770657,1.3559451219512195,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Temporal,593,3,0.00505902192242833,0.06913996627318718,0.04384485666104553,1.6688555347091933,False
Gemma 4 2B,Stochastic,run_3,Behavioral,Any explicit,593,24,0.04047217537942664,0.06913996627318718,0.5193929173693086,1.1270193221412734,False
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Comparison,593,6,0.01011804384485666,0.02866779089376054,0.1905564924114671,1.8521603331598127,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Contingency,593,1,0.0016863406408094434,0.02866779089376054,0.22934232715008432,0.25648788927335636,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Expansion,593,4,0.006745362563237774,0.02866779089376054,0.16188870151770657,1.4534313725490196,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Temporal,593,3,0.00505902192242833,0.02866779089376054,0.04384485666104553,4.024886877828053,True
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Any explicit,593,10,0.016863406408094434,0.02866779089376054,0.5193929173693086,1.1325439266615736,True
Gemma 4 2B,Stochastic,run_3,Payoff,Comparison,593,13,0.021922428330522766,0.327150084317032,0.1905564924114671,0.3516558708147068,False
Gemma 4 2B,Stochastic,run_3,Payoff,Contingency,593,105,0.17706576728499157,0.327150084317032,0.22934232715008432,2.3599530018192847,False
Gemma 4 2B,Stochastic,run_3,Payoff,Expansion,593,36,0.06070826306913996,0.327150084317032,0.16188870151770657,1.1462628865979383,False
Gemma 4 2B,Stochastic,run_3,Payoff,Temporal,593,2,0.003372681281618887,0.327150084317032,0.04384485666104553,0.23513084853291039,False
Gemma 4 2B,Stochastic,run_3,Payoff,Any explicit,593,125,0.21079258010118043,0.327150084317032,0.5193929173693086,1.2405442495648682,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Comparison,593,56,0.09443507588532883,0.3456998313659359,0.1905564924114671,1.4335419814375134,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Contingency,593,43,0.07251264755480608,0.3456998313659359,0.22934232715008432,0.9145982783357247,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Expansion,593,33,0.05564924114671164,0.3456998313659359,0.16188870151770657,0.9943597560975611,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Temporal,593,0,0.0,0.3456998313659359,0.04384485666104553,0.0,False
Gemma 4 2B,Stochastic,run_3,Uncertainty,Any explicit,593,104,0.17537942664418213,0.3456998313659359,0.5193929173693086,0.9767500791891037,False
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Comparison,599,0,0.0,0.008347245409015025,0.20868113522537562,0.0,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Contingency,599,1,0.001669449081803005,0.008347245409015025,0.2353923205342237,0.849645390070922,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Expansion,599,1,0.001669449081803005,0.008347245409015025,0.18196994991652754,1.0990825688073396,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Temporal,599,1,0.001669449081803005,0.008347245409015025,0.041736227045075125,4.792000000000001,True
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Any explicit,599,1,0.001669449081803005,0.008347245409015025,0.5308848080133556,0.37672955974842776,True
Gemma 4 2B,Greedy,greedy_t0,Testimony,Comparison,599,50,0.08347245409015025,0.24874791318864775,0.20868113522537562,1.6080536912751677,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Contingency,599,16,0.02671118530884808,0.24874791318864775,0.2353923205342237,0.45618544433338093,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Expansion,599,45,0.07512520868113523,0.24874791318864775,0.18196994991652754,1.659688442829875,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Temporal,599,18,0.03005008347245409,0.24874791318864775,0.041736227045075125,2.8944966442953017,False
Gemma 4 2B,Greedy,greedy_t0,Testimony,Any explicit,599,95,0.15859766277128548,0.24874791318864775,0.5308848080133556,1.2009834958423031,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Comparison,599,60,0.1001669449081803,0.2604340567612688,0.20868113522537562,1.843076923076923,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Contingency,599,20,0.0333889816360601,0.2604340567612688,0.2353923205342237,0.5446444808146935,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Expansion,599,40,0.0667779632721202,0.2604340567612688,0.18196994991652754,1.4090802164196659,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Temporal,599,11,0.018363939899833055,0.2604340567612688,0.041736227045075125,1.6894871794871795,False
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Any explicit,599,106,0.17696160267111852,0.2604340567612688,0.5308848080133556,1.2799145299145298,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Comparison,599,13,0.021702838063439065,0.07345575959933222,0.20868113522537562,1.4158181818181819,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Contingency,599,9,0.015025041736227046,0.07345575959933222,0.2353923205342237,0.868955512572534,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Expansion,599,7,0.011686143572621035,0.07345575959933222,0.18196994991652754,0.8742702251876565,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Temporal,599,3,0.005008347245409015,0.07345575959933222,0.041736227045075125,1.6336363636363638,False
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Any explicit,599,27,0.045075125208681135,0.07345575959933222,0.5308848080133556,1.1558747855917668,False
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Comparison,599,8,0.01335559265442404,0.02671118530884808,0.20868113522537562,2.3960000000000004,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Contingency,599,1,0.001669449081803005,0.02671118530884808,0.2353923205342237,0.2655141843971631,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Expansion,599,8,0.01335559265442404,0.02671118530884808,0.18196994991652754,2.7477064220183487,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Temporal,599,4,0.00667779632721202,0.02671118530884808,0.041736227045075125,5.99,True
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Any explicit,599,14,0.02337228714524207,0.02671118530884808,0.5308848080133556,1.6481918238993711,True
Gemma 4 2B,Greedy,greedy_t0,Payoff,Comparison,599,9,0.015025041736227046,0.31552587646076796,0.20868113522537562,0.2281904761904762,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Contingency,599,115,0.19198664440734559,0.31552587646076796,0.2353923205342237,2.5848999962475143,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Expansion,599,33,0.05509181969949917,0.31552587646076796,0.18196994991652754,0.9595165283238677,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Temporal,599,0,0.0,0.31552587646076796,0.041736227045075125,0.0,False
Gemma 4 2B,Greedy,greedy_t0,Payoff,Any explicit,599,126,0.21035058430717862,0.31552587646076796,0.5308848080133556,1.2557651991614256,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Comparison,599,62,0.10350584307178631,0.34056761268781305,0.20868113522537562,1.4563921568627451,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Contingency,599,48,0.08013355592654424,0.34056761268781305,0.2353923205342237,0.9995828118481433,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Expansion,599,38,0.06343906510851419,0.34056761268781305,0.18196994991652754,1.02365533369311,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Temporal,599,0,0.0,0.34056761268781305,0.041736227045075125,0.0,False
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Any explicit,599,113,0.18864774624373956,0.34056761268781305,0.5308848080133556,1.0433931434208903,False
