model,game_id,run_label,sentence_id,target_sentence,justification_text,vote,voted_player_end_role,is_correct,semantic_categories,evidence_spans,discourse_senses,connective_surfaces,n_relations_in_sentence
Gemma 4 2B,Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,run_2,3,"Since Team Village needs to eliminate a Werewolf to win, voting for the player who made a specific claim is the best current strategy.","The transcript is highly confusing due to numerous role swaps and conflicting claims, making definitive identification of the Werewolf impossible. However, Kelsey claimed the Robber role multiple times near the end of the discussion, which makes her a suspect. Since Team Village needs to eliminate a Werewolf to win, voting for the player who made a specific claim is the best current strategy. Kelsey is the most concrete suspect identified in the final voting phase.",Kelsey,Werewolf,True,Payoff,Team Village needs to eliminate a Werewolf to win,Contingency.Cause,Since,1
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,run_2,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confirm the presence of one, the safest strategy is to assume no Werewolf is present.","The discussion transcript focuses primarily on identifying roles (Robber, Troublemaker, Insomniac) and debating whether Mitchell is the Tanner or a Werewolf. There is no concrete evidence or successful identification of a Werewolf during the Night phase. Since Team Village wins by eliminating a Werewolf, and I cannot confirm the presence of one, the safest strategy is to assume no Werewolf is present.",No Werewolf,,True,Payoff | Uncertainty,Team Village wins by eliminating a Werewolf | I cannot confirm the presence of one,Contingency.Cause | Expansion.Conjunction,Since | and,2
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,run_3,2,"Since Team Village wins by eliminating a Werewolf, voting for Mitchell aligns with the strongest piece of evidence presented during the discussion.","The transcript indicates that Mitchell and Mike concluded that the two cards observed by the Seer were Werewolves, leading them to agree on a vote between Mitchell and Caitlynn. Since Team Village wins by eliminating a Werewolf, voting for Mitchell aligns with the strongest piece of evidence presented during the discussion. Mitchell was the player who claimed to have seen the Werewolf cards, making him a primary suspect.",Mitchell,Seer,False,Payoff,Team Village wins by eliminating a Werewolf,Contingency.Cause,Since,1
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,run_2,2,"Since the goal is to eliminate a Werewolf to win, Mitchell is the prime target based on the transcript evidence.","Mitchell initially claimed to be the Drunk, but later admitted that he was actually the Werewolf, confirming that he was correctly identified by another player. Since the goal is to eliminate a Werewolf to win, Mitchell is the prime target based on the transcript evidence. Voting for him maximizes the chance of Team Village eliminating the Werewolf.",Mitchell,Robber,False,Payoff,the goal is to eliminate a Werewolf to win,Contingency.Cause,Since,1
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,run_2,3,"Since Team Village needs to eliminate a Werewolf, Mitchell is the most likely candidate based on the consensus of suspicion from other players.","The discussion is highly conflicted, with players accusing each other of being the Werewolf or the Tanner. Alvin and James both strongly suspect Mitchell is the Werewolf, while Justin accuses Mitchell of being the Tanner. Since Team Village needs to eliminate a Werewolf, Mitchell is the most likely candidate based on the consensus of suspicion from other players. Voting for Mitchell maximizes the chance of eliminating a Werewolf.",Mitchell,Werewolf,True,Payoff | SocialJudgment,Team Village needs to eliminate a Werewolf | consensus of suspicion from other players,Contingency.Cause,Since,1
Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,run_1,2,"Since Team Village wins if no Werewolf is present and no one dies, and I have no information suggesting a Werewolf is active, the safest choice is to assume no Werewolf is present.","The discussion revolves around role identification and swaps (Mason, Troublemaker, Drunk, Tanner), but there is no explicit evidence or accusation pointing towards a Werewolf. Since Team Village wins if no Werewolf is present and no one dies, and I have no information suggesting a Werewolf is active, the safest choice is to assume no Werewolf is present.",No Werewolf,,True,Payoff | Uncertainty,Team Village wins if no Werewolf is present and no one dies | I have no information suggesting a Werewolf is active,Contingency.Cause | Contingency.Condition | Expansion.Conjunction | Expansion.Conjunction,Since | if | and | and,4
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,run_3,2,"Since Team Village wins by eliminating a Werewolf, voting for Mitchell is the necessary action based on this direct accusation.","Mitchell explicitly claims to be the Werewolf multiple times during the discussion phase, stating, ""I was the werewolf"" and expressing concern about being targeted. Since Team Village wins by eliminating a Werewolf, voting for Mitchell is the necessary action based on this direct accusation. Given the lack of contradictory evidence, he is the primary suspect.",Mitchell,Tanner,False,Payoff | Testimony,Team Village wins by eliminating a Werewolf | this direct accusation,Contingency.Cause,Since,1
Gemma 4 2B,Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,run_2,3,"Since I cannot confirm any player is a Werewolf, I must assume that all Werewolf cards are in the center, allowing Team Village to win by default.","The discussion transcript is highly confusing due to multiple role swaps and conflicting accusations, making it impossible to definitively identify a Werewolf. Players are actively trying to bluff and deceive each other regarding their roles. Since I cannot confirm any player is a Werewolf, I must assume that all Werewolf cards are in the center, allowing Team Village to win by default.",No Werewolf,,False,Uncertainty | Payoff,I cannot confirm any player is a Werewolf | allowing Team Village to win by default,Contingency.Cause,Since,1
Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_2,2,"Since Team Village wins by eliminating a Werewolf, voting for Zack is the necessary action to achieve this goal.","The discussion transcript strongly indicates that Zack is currently the Werewolf, as Hunter explicitly states, 'you're now the werewolf.' Since Team Village wins by eliminating a Werewolf, voting for Zack is the necessary action to achieve this goal. This provides the best chance for Team Village to win the game.",Zack,Werewolf,True,Payoff,Team Village wins by eliminating a Werewolf,Contingency.Cause,Since,1
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,run_1,2,"Since Team Village wins by eliminating a Werewolf, voting out Mike is the necessary action to achieve victory.","Mike explicitly states in the transcript that he was a regular werewolf, confirming his role as a member of Team Werewolf. Since Team Village wins by eliminating a Werewolf, voting out Mike is the necessary action to achieve victory. Given the strong evidence pointing to Mike's identity, he is the primary target.",Mike,Robber,False,Payoff,Team Village wins by eliminating a Werewolf,Contingency.Cause,Since,1
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,run_1,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot confirm a Werewolf is active, the safest assumption is that no Werewolf is currently present.","Based solely on the public discussion transcript, there is no definitive evidence linking any player to the Werewolf role. The conversation is highly confusing, involving role swaps and meta-game commentary, making it impossible to confirm any night actions or identities. Since Team Village wins if no Werewolf is present and no one dies, and I cannot confirm a Werewolf is active, the safest assumption is that no Werewolf is currently present.",No Werewolf,,False,Payoff | Uncertainty,Team Village wins if no Werewolf is present and no one dies | cannot confirm a Werewolf is active,Contingency.Cause | Contingency.Condition | Expansion.Conjunction | Expansion.Conjunction,Since | if | and | and,4
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,run_1,3,"Since Team Village wins if no Werewolf is present and no one dies, and given the high level of uncertainty, the safest choice is to assume no Werewolf is currently active.","The transcript provides no definitive evidence or accusation pointing to a specific player being the Werewolf. Discussions revolve around speculation regarding role swaps and the possibility of a Werewolf being present, but no player successfully identifies or confirms a Werewolf. Since Team Village wins if no Werewolf is present and no one dies, and given the high level of uncertainty, the safest choice is to assume no Werewolf is currently active.",No Werewolf,,True,Payoff | Uncertainty,Team Village wins if no Werewolf is present and no one dies | high level of uncertainty,Contingency.Cause | Contingency.Condition | Expansion.Conjunction,Since | if | and,3
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,run_2,3,"Since Team Village needs to eliminate a Werewolf, Justin is the most logical target based on the current suspicions and conflicting role claims.","The discussion is highly confusing and contradictory, making definitive identification difficult. However, Justin is repeatedly implicated by other players, including Mitchell who initially suspected him of being the Werewolf, and Mike who suggested Justin might be the Tanner. Since Team Village needs to eliminate a Werewolf, Justin is the most logical target based on the current suspicions and conflicting role claims.",Justin,Seer,False,Payoff | SocialJudgment | Uncertainty,Team Village needs to eliminate a Werewolf | current suspicions | conflicting role claims,Contingency.Cause,Since,1
Gemma 4 2B,Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,run_2,4,"Therefore, the safest move for Team Village is to assume no Werewolf is present.","The discussion is highly confusing due to role swaps (Robber, Troublemaker, Drunk) and conflicting claims about starting roles. While James claimed to have been the Werewolf and suggested Elliot might be the Werewolf, there is no concrete evidence to confirm this. Since the roles are fluid and players are actively attempting to deceive, I cannot confidently identify a Werewolf. Therefore, the safest move for Team Village is to assume no Werewolf is present.",No Werewolf,,False,Payoff,safest move for Team Village,Contingency.Cause,Therefore,1
Gemma 4 2B,Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,run_2,3,"Since I cannot confirm the presence of a Werewolf, and the winning condition allows Team Village to win if no Werewolf is present, I must assume no Werewolf is currently active.","The discussion transcript is highly contradictory and filled with accusations and role claims, making it impossible to definitively identify a Werewolf. Pete claims to be the werewolf, but other players dispute this, and the evidence presented is inconclusive. Since I cannot confirm the presence of a Werewolf, and the winning condition allows Team Village to win if no Werewolf is present, I must assume no Werewolf is currently active.",No Werewolf,,True,Uncertainty | Payoff,I cannot confirm the presence of a Werewolf | the winning condition allows Team Village to win if no Werewolf is present,Contingency.Cause | Expansion.Conjunction | Contingency.Condition,Since | and | if,3
Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,run_3,3,"Since Team Village wins if no Werewolves are present, and there is no concrete identification of a Werewolf, the safest choice is to assume no Werewolf is present.","The discussion revolves entirely around role swapping and card locations, specifically involving the Doppelganger, Robber, and Troublemaker roles. While the intensity of the conversation suggests deception, the transcript does not provide definitive evidence linking any player to the Werewolf role. Since Team Village wins if no Werewolves are present, and there is no concrete identification of a Werewolf, the safest choice is to assume no Werewolf is present.",No Werewolf,,False,Payoff | Uncertainty,Team Village wins if no Werewolves are present | there is no concrete identification of a Werewolf,Contingency.Cause | Contingency.Condition | Expansion.Conjunction,Since | if | and,3
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,run_2,2,"Since Team Village wins by eliminating a Werewolf, voting for Caitlynn is the optimal strategy to secure a win.","The discussion strongly implies that Caitlynn is the Werewolf, based on Justin's deduction that she might be the culprit after the Minion reported seeing no Werewolves, and Caitlynn's subsequent admission that 'it's me.' Since Team Village wins by eliminating a Werewolf, voting for Caitlynn is the optimal strategy to secure a win. This action targets the most likely suspect identified through the public discussion.",Caitlynn,Insomniac,False,Payoff,Team Village wins by eliminating a Werewolf,Contingency.Cause,Since,1
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,run_2,3,"Since Team Village wins by eliminating a Werewolf, Mitchell is the primary target to secure a victory.","The discussion strongly implicates Mitchell as the Werewolf, particularly when Justin directly accuses him based on the card swaps. Furthermore, James claimed to be the Seer and reported seeing a Werewolf and a Troublemaker in the center cards, suggesting the presence of Werewolves. Since Team Village wins by eliminating a Werewolf, Mitchell is the primary target to secure a victory.",Mitchell,Werewolf,True,Payoff,Team Village wins by eliminating a Werewolf,Contingency.Cause,Since,1
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,run_3,2,"Since Team Village wins by eliminating a Werewolf, and this is the only explicit declaration of a Werewolf role, I will target Mike, who is accused alongside James.","The transcript contains a direct claim from James stating, ""Me and Mike are werewolves"" (153). Since Team Village wins by eliminating a Werewolf, and this is the only explicit declaration of a Werewolf role, I will target Mike, who is accused alongside James. This is the most direct path to achieving the win condition based on the available information.",Mike,Werewolf,True,Payoff | Testimony | SocialJudgment,"Team Village wins by eliminating a Werewolf | this is the only explicit declaration of a Werewolf role | Mike, who is accused alongside James",Contingency.Cause | Expansion.Conjunction,Since | and,2
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,run_2,3,"Since Team Village wins by eliminating a Werewolf, voting for James is the logical move to secure victory.","The transcript strongly indicates that James holds the Werewolf card, as Justin explicitly states, 'I looked at James's card and it was a werewolf. 100% confirmed.' Since Team Village wins by eliminating a Werewolf, voting for James is the logical move to secure victory. While the discussion involves complex scenarios about multiple Werewolves and tie votes, the direct evidence points to James being the target.",James,Werewolf,True,Payoff,Team Village wins by eliminating a Werewolf,Contingency.Cause,Since,1
