model,feature,selection_freq,lambda
2B,pt_accusation,0.065,21.843
2B,pt_defense,0.285,21.843
2B,pt_interrogation,0.11,21.843
2B,pt_identity_declaration,0.11,21.843
2B,pt_evidence,0.11,21.843
2B,pt_call_for_action,0.12,21.843
2B,n_utterances,0.235,21.843
2B,werewolf_count,1.0,21.843
2B,deception_count,0.145,21.843
2B,claims_werewolf,1.0,21.843
2B,claims_info_role,0.605,21.843
2B,n_distinct_roles_claimed_self,0.055,21.843
2B,is_circle_option,1.0,21.843
31B,pt_accusation,0.025,24.474
31B,pt_defense,0.21,24.474
31B,pt_interrogation,0.145,24.474
31B,pt_identity_declaration,0.01,24.474
31B,pt_evidence,0.085,24.474
31B,pt_call_for_action,0.14,24.474
31B,n_utterances,0.01,24.474
31B,werewolf_count,1.0,24.474
31B,deception_count,0.91,24.474
31B,claims_werewolf,1.0,24.474
31B,claims_info_role,0.655,24.474
31B,n_distinct_roles_claimed_self,0.05,24.474
31B,is_circle_option,1.0,24.474
4B,pt_accusation,0.16,15.665
4B,pt_defense,0.465,15.665
4B,pt_interrogation,0.175,15.665
4B,pt_identity_declaration,0.19,15.665
4B,pt_evidence,0.2,15.665
4B,pt_call_for_action,0.14,15.665
4B,n_utterances,0.005,15.665
4B,werewolf_count,1.0,15.665
4B,deception_count,0.87,15.665
4B,claims_werewolf,1.0,15.665
4B,claims_info_role,0.55,15.665
4B,n_distinct_roles_claimed_self,0.16,15.665
4B,is_circle_option,1.0,15.665
