occurrence_id,model,game_id,session_name,run_label,run_number,decoding_group,justification_id,sentence_id,sentence_text,candidate_surface,connective_surface,char_spans,start,end,n_char_spans,is_discontinuous,is_connective,raw_sense,top_level,confidence,relation_type
0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,1,"The discussion transcript is highly chaotic due to numerous role swaps and players failing to recall their current roles, making it impossible to definitively identify the Werewolf.",and,and,71-74,71,74,1,False,False,NoSense,,0.9990177154541016,Explicit
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,2,"While Erin claimed to be the Werewolf, Hailey was heavily suspected due to suspicious actions like moving cards and whispering, and Brent was also targeted.",while,While,182-187,182,187,1,False,True,Comparison.Contrast,Comparison,0.7491647005081177,Explicit
2,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,2,"While Erin claimed to be the Werewolf, Hailey was heavily suspected due to suspicious actions like moving cards and whispering, and Brent was also targeted.",and,and,294-297,294,297,1,False,False,NoSense,,0.9999998807907104,Explicit
3,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,2,"While Erin claimed to be the Werewolf, Hailey was heavily suspected due to suspicious actions like moving cards and whispering, and Brent was also targeted.",and,and,310-313,310,313,1,False,True,Expansion.Conjunction,Expansion,0.9878552556037903,Explicit
4,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,2,"While Erin claimed to be the Werewolf, Hailey was heavily suspected due to suspicious actions like moving cards and whispering, and Brent was also targeted.",also,also,324-328,324,328,1,False,True,Expansion.Conjunction,Expansion,0.9491326212882996,Explicit
5,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,3,"Since we cannot confirm who holds the Werewolf card, and the game flow suggests the Werewolf might have survived, voting out a highly suspected player is the best attempt to eliminate them and secure the win for Team Village.",since,Since,339-344,339,344,1,False,True,Contingency.Cause,Contingency,0.9992122650146484,Explicit
6,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,3,"Since we cannot confirm who holds the Werewolf card, and the game flow suggests the Werewolf might have survived, voting out a highly suspected player is the best attempt to eliminate them and secure the win for Team Village.",and,and,392-395,392,395,1,False,True,Expansion.Conjunction,Expansion,0.992657482624054,Explicit
7,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,3,"Since we cannot confirm who holds the Werewolf card, and the game flow suggests the Werewolf might have survived, voting out a highly suspected player is the best attempt to eliminate them and secure the win for Team Village.",and,and,528-531,528,531,1,False,False,NoSense,,0.9999549388885498,Explicit
8,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,3,"Since we cannot confirm who holds the Werewolf card, and the game flow suggests the Werewolf might have survived, voting out a highly suspected player is the best attempt to eliminate them and secure the win for Team Village.",for,for,547-550,547,550,1,False,False,NoSense,,1.0,Explicit
9,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,1,"The discussion focused heavily on the potential card swaps carried out by the Robber and Troublemaker roles, leading to significant confusion regarding who held which starting role.",and,and,85-88,85,88,1,False,False,NoSense,,1.0,Explicit
10,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,2,"While there is intense suspicion and conflicting theories about who is lying or who swapped cards, there is no definitive evidence linking any player to the Werewolf role.",while,While,182-187,182,187,1,False,True,Comparison.Contrast,Comparison,0.6340463161468506,Explicit
