model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications_with_category,total_words,total_relations,relations_per_100_words,mean_per_justification_density,low_support_diagnostic
Gemma 4 2B,Stochastic,run_1,Mechanical,Comparison,4,294,2,0.6802721088435374,0.5,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Contingency,4,294,5,1.7006802721088434,1.6614978652751424,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion,4,294,5,1.7006802721088434,1.543850806451613,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Temporal,4,294,1,0.3401360544217687,0.36764705882352944,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Any explicit,4,294,13,4.421768707482993,4.072995730550285,True
Gemma 4 2B,Stochastic,run_1,Testimony,Comparison,104,6761,66,0.9761869545925159,0.9674616887656201,False
Gemma 4 2B,Stochastic,run_1,Testimony,Contingency,104,6761,50,0.7395355716609969,0.7274427359390897,False
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion,104,6761,69,1.0205590888921756,1.0311716487705573,False
Gemma 4 2B,Stochastic,run_1,Testimony,Temporal,104,6761,31,0.4585120544298181,0.4528070198359361,False
Gemma 4 2B,Stochastic,run_1,Testimony,Any explicit,104,6761,216,3.1947936695755064,3.1788830933112027,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Comparison,124,8015,77,0.9606986899563319,0.9462123646911044,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Contingency,124,8015,73,0.9107922645040549,0.9082444582593512,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion,124,8015,84,1.0480349344978166,1.042298256278999,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Temporal,124,8015,33,0.4117280099812851,0.4110568748852966,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Any explicit,124,8015,267,3.3312538989394884,3.3078119541147517,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Comparison,31,2159,15,0.6947660954145438,0.6944716763261443,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Contingency,31,2159,20,0.9263547938860583,0.9227796415312072,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion,31,2159,17,0.7874015748031497,0.7828903642994562,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Temporal,31,2159,8,0.37054191755442334,0.381769322841819,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Any explicit,31,2159,60,2.7790643816581753,2.781911004998627,False
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Comparison,17,1134,13,1.146384479717813,1.167097381055677,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Contingency,17,1134,6,0.5291005291005291,0.5248581469372375,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion,17,1134,12,1.0582010582010581,1.0603494447687674,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Temporal,17,1134,11,0.9700176366843033,0.982630698875778,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Any explicit,17,1134,42,3.7037037037037037,3.73493567163746,True
Gemma 4 2B,Stochastic,run_1,Payoff,Comparison,171,11144,109,0.9781048097631012,0.9713510195605382,False
Gemma 4 2B,Stochastic,run_1,Payoff,Contingency,171,11144,122,1.094759511844939,1.084543528919191,False
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion,171,11144,116,1.0409188801148601,1.038140848922216,False
Gemma 4 2B,Stochastic,run_1,Payoff,Temporal,171,11144,36,0.3230437903804738,0.32159331471158126,False
Gemma 4 2B,Stochastic,run_1,Payoff,Any explicit,171,11144,383,3.436826992103374,3.4156287121135263,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Comparison,114,7675,85,1.1074918566775245,1.1062285841180997,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Contingency,114,7675,88,1.1465798045602607,1.133834820974163,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion,114,7675,80,1.0423452768729642,1.021601458039125,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Temporal,114,7675,16,0.20846905537459284,0.21137652164343074,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Any explicit,114,7675,269,3.504885993485342,3.4730413847748185,False
Gemma 4 2B,Stochastic,run_2,Mechanical,Comparison,7,531,5,0.9416195856873822,0.91992294509457,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Contingency,7,531,9,1.694915254237288,1.6361365560450227,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion,7,531,9,1.694915254237288,1.5062321355227533,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Temporal,7,531,0,0.0,0.0,True
Gemma 4 2B,Stochastic,run_2,Mechanical,Any explicit,7,531,23,4.3314500941619585,4.062291636662346,True
Gemma 4 2B,Stochastic,run_2,Testimony,Comparison,99,6377,60,0.9408812921436412,0.9316885322989307,False
Gemma 4 2B,Stochastic,run_2,Testimony,Contingency,99,6377,63,0.9879253567508233,0.9906379517427641,False
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion,99,6377,57,0.8938372275364591,0.8884054803581249,False
Gemma 4 2B,Stochastic,run_2,Testimony,Temporal,99,6377,26,0.40771522659557785,0.41691056041903723,False
Gemma 4 2B,Stochastic,run_2,Testimony,Any explicit,99,6377,206,3.2303591030265015,3.2276425248188563,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Comparison,109,7036,69,0.9806708357021034,0.9697572035971623,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Contingency,109,7036,61,0.8669698692438885,0.8764501192332261,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion,109,7036,72,1.023308698123934,1.005295159887512,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Temporal,109,7036,22,0.312677657760091,0.31909153919761524,False
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Any explicit,109,7036,224,3.183627060830017,3.170594021915516,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Comparison,31,2135,19,0.8899297423887588,0.865853890606051,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Contingency,31,2135,24,1.1241217798594847,1.1129044477959074,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion,31,2135,17,0.7962529274004684,0.8128854914137614,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Temporal,31,2135,4,0.1873536299765808,0.20108049290958885,False
Gemma 4 2B,Stochastic,run_2,Behavioral,Any explicit,31,2135,64,2.997658079625293,2.9927243227253086,False
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Comparison,13,880,5,0.5681818181818182,0.4742329473512269,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Contingency,13,880,12,1.3636363636363635,1.409282032099603,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion,13,880,10,1.1363636363636365,1.1970019234556009,True
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Temporal,13,880,9,1.0227272727272727,1.0682984495664516,True
