justification_id,model_under_annotation,is_correct,sentence_id,text,rule_mentioned,n_annotations,is_labelled,categories
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,2B,True,1,"Ashley explicitly stated she was the Werewolf during the discussion, which is a strong indicator, even though players may lie.",False,1,True,Testimony
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,2B,True,2,"The conversation centered around Elliot potentially swapping with Ashley and becoming the Werewolf, suggesting high volatility in roles.",True,1,True,Deduction
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,2B,True,3,"Given the objective is to eliminate a Werewolf, voting out the player who claims the Werewolf role is the most direct path to achieving a Team Village victory.",True,1,True,Payoff
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,2B,False,1,The discussion transcript is highly confusing due to multiple role swaps and uncertainty regarding player identities.,True,0,False,
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,2B,False,2,"While players are debating the presence of a Troublemaker and Werewolves, there is no concrete evidence or successful identification of a Werewolf.",False,1,True,Consistency
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,2B,False,3,"Since Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they win by default, I cannot confidently accuse any player.",True,1,True,Payoff
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,2B,False,1,"The discussion transcript is highly ambiguous regarding the actual roles and the presence of Werewolves, with players debating whether one or two Werewolves are present.",False,0,False,
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,2B,False,2,"Since no player has been definitively identified as a Werewolf, and the game rules state that Team Village wins if no Werewolves are present and no one dies, the safest strategic move is to assume that all Werewolf cards are in the center.",True,2,True,Consistency|Payoff
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,2B,False,3,This maximizes the chance of a Team Village victory.,False,1,True,Payoff
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__greedy_t0,2B,True,1,"The discussion primarily revolves around role swapping and confusion regarding identities, making it impossible to definitively identify a Werewolf.",True,0,False,
